Transaction_ID,Year,Season,Category,City,State,Customer_ID,Product_ID,Payment_Mode,MRP,Discount_%,Quantity,Return_Flag,Out_of_Stock,Hour_of_Day,Selling_Price,Revenue,Margin
T35,2021,Winter,Grocery,Mumbai,Tamil Nadu,C329,P335,Wallet,46378.12,69,4,0,0,17,14377.22,57508.88,128003.6
T36,2023,Winter,Beauty,Chennai,Delhi,C1311,P318,UPI,4801.22,67,4,0,0,0,1584.4,6337.6,12867.28
T37,2021,Winter,Fashion,Kolkata,Karnataka,C1794,P323,Credit Card,4971.42,60,3,0,0,1,1988.57,5965.71,8948.550000000001
T38,2023,Monsoon,Grocery,Mumbai,Maharashtra,C268,P112,Credit Card,23907.0,21,4,0,0,13,18886.53,75546.12,20081.880000000005
T39,2019,Festive,Home,Hyderabad,West Bengal,C621,P312,Wallet,29487.5,55,2,0,0,5,13269.37,26538.74,32436.26
T40,2020,Winter,Fashion,Bangalore,Karnataka,C714,P274,COD,21409.0,41,2,0,0,14,12631.31,25262.62,17555.38
T41,2022,Monsoon,Fashion,Delhi,Maharashtra,C770,P361,Credit Card,16457.25,13,2,0,0,3,14317.81,28635.62,4278.880000000001
T42,2019,Winter,Beauty,Chennai,Delhi,C406,P8,UPI,32121.51,42,2,1,0,23,18630.48,37260.96,26982.059999999998
T43,2022,Summer,Home,Mumbai,Telangana,C360,P97,COD,303.66,57,2,0,0,8,130.57,261.14,346.18000000000006
T44,2020,Summer,Mobiles,Hyderabad,Delhi,C1861,P313,Debit Card,48410.05,17,3,0,0,14,40180.34,120541.01999999999,24689.13000000002
T45,2020,Festive,Home,Delhi,Telangana,C325,P158,UPI,11757.54,57,3,0,0,4,5055.74,15167.22,20105.4
T46,2019,Monsoon,Mobiles,Pune,Karnataka,C313,P156,COD,45871.52,53,4,0,0,5,21559.61,86238.44,97247.63999999998
T47,2020,Summer,Home,Hyderabad,Delhi,C1222,P66,Credit Card,5628.93,39,2,0,0,10,3433.65,6867.3,4390.56
T48,2023,Summer,Electronics,Bangalore,Delhi,C1822,P139,Debit Card,12056.74,20,4,0,0,12,9645.39,38581.56,9645.400000000001
T49,2020,Monsoon,Home,Delhi,West Bengal,C476,P299,Debit Card,11896.71,17,2,0,0,11,9874.27,19748.54,4044.8799999999974
T50,2022,Winter,Grocery,Delhi,Karnataka,C1042,P488,UPI,49808.41,15,4,0,0,6,42337.15,169348.6,29885.040000000008
T51,2022,Monsoon,Grocery,Pune,Delhi,C56,P123,Debit Card,429.11,6,3,0,1,19,403.36,1210.08,77.25
T52,2022,Winter,Beauty,Delhi,Telangana,C1328,P240,COD,32053.98,23,2,1,0,11,24681.56,49363.12,14744.839999999997
T53,2022,Summer,Mobiles,Mumbai,Maharashtra,C959,P159,Wallet,43510.39,49,3,0,0,9,22190.3,66570.9,63960.270000000004
T54,2023,Summer,Fashion,Delhi,Delhi,C1626,P363,Credit Card,33679.23,50,4,0,0,2,16839.62,67358.48,67358.44000000002
T55,2021,Summer,Beauty,Hyderabad,Telangana,C1547,P322,UPI,18264.14,51,3,0,0,1,8949.43,26848.29,27944.129999999997
T56,2019,Festive,Grocery,Mumbai,Maharashtra,C656,P95,Wallet,47923.81,53,3,0,0,19,22524.19,67572.56999999999,76198.86
T57,2022,Festive,Grocery,Delhi,Delhi,C649,P142,Wallet,44697.33,46,3,0,0,20,24136.56,72409.68000000001,61682.31
T58,2020,Festive,Mobiles,Hyderabad,Telangana,C629,P179,UPI,21810.96,37,1,0,0,0,13740.9,13740.9,8070.0599999999995
T59,2022,Monsoon,Grocery,Hyderabad,Maharashtra,C1913,P330,COD,28751.76,45,4,0,0,20,15813.47,63253.88,51753.159999999996
T60,2020,Summer,Grocery,Chennai,Karnataka,C1667,P40,Credit Card,48382.46,23,4,0,0,5,37254.49,149017.96,44511.880000000005
T61,2020,Summer,Mobiles,Hyderabad,Maharashtra,C1565,P445,UPI,49131.51,43,2,0,0,12,28004.96,56009.92,42253.100000000006
T62,2022,Monsoon,Grocery,Pune,Delhi,C1499,P201,Wallet,22601.2,11,2,0,0,9,20115.07,40230.14,4972.260000000002
T63,2023,Festive,Fashion,Kolkata,West Bengal,C827,P25,Wallet,42398.03,43,2,0,0,12,24166.88,48333.76,36462.299999999996
T64,2020,Monsoon,Electronics,Bangalore,Telangana,C1177,P94,UPI,15238.62,38,3,0,1,21,9447.94,28343.82,17372.04
T65,2020,Festive,Beauty,Delhi,Maharashtra,C1672,P331,Wallet,18716.28,48,4,0,0,4,9732.47,38929.88,35935.24
T66,2022,Summer,Fashion,Pune,West Bengal,C195,P296,UPI,8408.13,67,3,0,0,7,2774.68,8324.039999999999,16900.35
T67,2020,Winter,Fashion,Delhi,Delhi,C1911,P479,UPI,10617.39,52,4,0,0,20,5096.35,20385.4,22084.159999999996
T68,2020,Festive,Electronics,Delhi,Telangana,C1936,P281,Credit Card,32912.29,7,3,0,0,10,30608.43,91825.29000000001,6911.580000000002
T69,2022,Summer,Beauty,Hyderabad,Delhi,C1800,P89,UPI,25636.92,38,2,0,0,18,15894.89,31789.78,19484.059999999998
T70,2022,Summer,Fashion,Hyderabad,Maharashtra,C190,P328,Wallet,11710.37,13,3,0,0,18,10188.02,30564.06,4567.050000000001
T71,2019,Winter,Grocery,Delhi,Maharashtra,C760,P47,Debit Card,20264.9,65,1,0,0,3,7092.72,7092.72,13172.18
T72,2023,Summer,Electronics,Kolkata,Maharashtra,C876,P435,Credit Card,18784.54,24,2,0,0,9,14276.25,28552.5,9016.580000000002
T73,2023,Summer,Beauty,Mumbai,Maharashtra,C531,P267,Wallet,49370.54,44,1,0,0,23,27647.5,27647.5,21723.04
T74,2020,Festive,Home,Mumbai,Delhi,C1156,P467,Wallet,42707.58,16,1,1,1,8,35874.37,35874.37,6833.209999999999
T75,2023,Festive,Mobiles,Bangalore,Delhi,C359,P447,Credit Card,19520.72,32,2,0,0,6,13274.09,26548.18,12493.260000000002
T76,2020,Winter,Grocery,Chennai,Tamil Nadu,C1093,P237,Credit Card,45713.05,52,1,0,0,17,21942.26,21942.26,23770.790000000005
T77,2019,Winter,Electronics,Pune,Delhi,C575,P358,Wallet,17263.24,11,1,0,0,8,15364.28,15364.28,1898.960000000001
T78,2022,Summer,Mobiles,Bangalore,Maharashtra,C935,P65,Debit Card,33461.5,18,4,0,0,5,27438.43,109753.72,24092.28
T79,2022,Festive,Home,Delhi,Delhi,C546,P140,COD,48339.17,23,3,0,0,5,37221.16,111663.48000000001,33354.029999999984
T80,2022,Winter,Fashion,Pune,West Bengal,C1181,P163,Wallet,19635.89,58,1,0,0,12,8247.07,8247.07,11388.82
T81,2023,Winter,Fashion,Delhi,West Bengal,C1804,P150,Credit Card,34058.27,64,3,1,0,21,12260.98,36782.94,65391.869999999995
T82,2019,Monsoon,Beauty,Delhi,Maharashtra,C1522,P299,UPI,14937.01,38,1,1,0,16,9260.95,9260.95,5676.0599999999995
T83,2023,Winter,Electronics,Chennai,West Bengal,C279,P441,UPI,13462.35,45,2,0,0,14,7404.29,14808.58,12116.12
T84,2023,Summer,Electronics,Hyderabad,Delhi,C271,P122,Credit Card,28793.0,35,2,0,0,8,18715.45,37430.9,20155.1
T85,2019,Festive,Beauty,Chennai,Karnataka,C1140,P316,Credit Card,48967.38,43,4,0,0,5,27911.41,111645.64,84223.87999999999
T86,2019,Winter,Mobiles,Bangalore,Delhi,C889,P396,COD,22766.07,56,2,0,0,22,10017.07,20034.14,25498.0
T87,2019,Monsoon,Fashion,Hyderabad,Maharashtra,C271,P292,Credit Card,46894.32,51,4,0,0,16,22978.22,91912.88,95664.4
T88,2019,Festive,Fashion,Hyderabad,Tamil Nadu,C1279,P391,UPI,45735.3,24,2,0,0,4,34758.83,69517.66,21952.940000000002
T89,2022,Winter,Electronics,Bangalore,Telangana,C561,P294,Debit Card,12837.38,56,3,0,0,2,5648.45,16945.35,21566.789999999997
T90,2021,Monsoon,Electronics,Hyderabad,Maharashtra,C1294,P30,Credit Card,20210.61,66,1,0,0,15,6871.61,6871.61,13339.0
T91,2021,Winter,Beauty,Pune,Maharashtra,C432,P203,COD,32236.46,9,1,0,0,1,29335.18,29335.18,2901.279999999999
T92,2019,Festive,Home,Mumbai,West Bengal,C132,P446,Debit Card,25998.69,61,4,0,0,19,10139.49,40557.96,63436.799999999996
T93,2021,Festive,Mobiles,Bangalore,Karnataka,C1747,P163,COD,4978.73,8,2,0,0,2,4580.43,9160.86,796.5999999999985
T94,2021,Festive,Grocery,Bangalore,Maharashtra,C1598,P167,Debit Card,49686.16,15,3,0,0,8,42233.24,126699.72,22358.760000000017
T95,2019,Summer,Home,Mumbai,Telangana,C1826,P304,Credit Card,37682.17,23,3,0,0,18,29015.27,87045.81,26000.699999999993
T96,2021,Winter,Home,Chennai,Karnataka,C1140,P102,UPI,21997.16,31,2,0,0,13,15178.04,30356.08,13638.239999999998
T97,2023,Summer,Electronics,Chennai,Maharashtra,C193,P483,Debit Card,30984.79,33,1,0,0,13,20759.81,20759.81,10224.98
T98,2020,Festive,Electronics,Chennai,West Bengal,C446,P94,Wallet,4561.13,22,2,0,0,16,3557.68,7115.36,2006.9000000000005
T99,2020,Monsoon,Electronics,Hyderabad,Tamil Nadu,C751,P395,COD,24866.02,41,1,0,0,7,14670.95,14670.95,10195.07
T100,2019,Winter,Home,Mumbai,Maharashtra,C1282,P14,Debit Card,46555.45,65,2,1,0,16,16294.41,32588.82,60522.079999999994
T101,2022,Summer,Mobiles,Pune,Maharashtra,C1973,P336,COD,44850.73,51,1,0,0,16,21976.86,21976.86,22873.870000000003
T102,2019,Winter,Electronics,Bangalore,Maharashtra,C1950,P55,UPI,17001.57,24,4,1,0,6,12921.19,51684.76,16321.519999999997
T103,2022,Monsoon,Fashion,Bangalore,Maharashtra,C1592,P209,COD,26662.12,53,3,0,0,8,12531.2,37593.600000000006,42392.759999999995
T104,2020,Summer,Mobiles,Bangalore,Karnataka,C580,P232,COD,34929.7,19,2,0,0,3,28293.06,56586.12,13273.279999999992
T105,2019,Festive,Fashion,Hyderabad,Karnataka,C1556,P29,Wallet,17132.46,22,1,0,0,9,13363.32,13363.32,3769.1399999999994
T106,2023,Summer,Mobiles,Hyderabad,Maharashtra,C1175,P203,COD,3430.99,42,1,0,0,3,1989.97,1989.97,1441.0199999999998
T107,2021,Winter,Electronics,Kolkata,Maharashtra,C1919,P91,Debit Card,25370.99,26,1,0,0,20,18774.53,18774.53,6596.460000000003
T108,2022,Winter,Grocery,Pune,Delhi,C424,P452,COD,30161.46,64,4,0,0,4,10858.13,43432.52,77213.32
T109,2021,Winter,Beauty,Chennai,Maharashtra,C131,P93,Credit Card,490.91,30,1,0,0,1,343.64,343.64,147.27000000000004
T110,2021,Winter,Electronics,Kolkata,West Bengal,C1740,P432,COD,4959.65,68,3,0,0,14,1587.09,4761.2699999999995,10117.679999999998
T111,2019,Festive,Home,Kolkata,West Bengal,C1151,P395,Credit Card,10523.07,62,4,0,0,8,3998.77,15995.08,26097.199999999997
T112,2021,Summer,Grocery,Hyderabad,Tamil Nadu,C309,P149,COD,17533.0,7,1,0,0,8,16305.69,16305.69,1227.3099999999995
T113,2023,Festive,Home,Chennai,Maharashtra,C531,P149,COD,27144.35,34,3,0,0,0,17915.27,53745.81,27687.239999999994
T114,2021,Festive,Mobiles,Chennai,Telangana,C242,P44,Debit Card,14833.38,23,1,0,0,23,11421.7,11421.7,3411.6799999999985
T115,2019,Festive,Home,Bangalore,West Bengal,C81,P441,Credit Card,13953.95,14,3,0,0,23,12000.4,36001.2,5860.650000000003
T116,2023,Winter,Grocery,Hyderabad,West Bengal,C1815,P101,Credit Card,43493.6,50,3,0,0,11,21746.8,65240.399999999994,65240.399999999994
T117,2020,Winter,Grocery,Chennai,West Bengal,C64,P349,Wallet,7423.52,23,1,0,0,12,5716.11,5716.11,1707.4100000000008
T118,2021,Winter,Electronics,Kolkata,Delhi,C1626,P459,COD,24873.91,62,3,1,0,19,9452.09,28356.27,46265.46
T119,2019,Summer,Fashion,Mumbai,Telangana,C876,P213,COD,47650.67,10,2,0,0,12,42885.6,85771.2,9530.14
T120,2020,Monsoon,Electronics,Mumbai,Maharashtra,C298,P363,Debit Card,31325.66,55,1,0,0,13,14096.55,14096.55,17229.11
T121,2020,Winter,Mobiles,Hyderabad,Maharashtra,C656,P160,Wallet,35916.83,18,2,0,0,9,29451.8,58903.6,12930.060000000005
T122,2022,Summer,Home,Bangalore,Maharashtra,C599,P299,Wallet,21675.6,62,3,0,0,16,8236.73,24710.19,40316.61
T123,2023,Winter,Fashion,Bangalore,Delhi,C42,P427,Debit Card,1192.62,12,4,1,0,16,1049.51,4198.04,572.4399999999996
T124,2021,Winter,Beauty,Chennai,West Bengal,C730,P374,Credit Card,32377.29,6,4,0,0,13,30434.65,121738.6,7770.559999999998
T125,2019,Festive,Grocery,Pune,Maharashtra,C1703,P287,UPI,31669.83,22,3,0,0,16,24702.47,74107.41,20902.08
T126,2022,Festive,Fashion,Hyderabad,Telangana,C893,P22,Debit Card,5699.3,61,2,0,0,18,2222.73,4445.46,6953.14
T127,2023,Festive,Fashion,Pune,Maharashtra,C265,P296,Credit Card,23215.55,39,1,0,0,2,14161.49,14161.49,9054.06
T128,2022,Summer,Electronics,Mumbai,Telangana,C1391,P485,Wallet,45783.38,60,4,0,0,3,18313.35,73253.4,109880.12
T129,2023,Monsoon,Beauty,Kolkata,Delhi,C1979,P92,Debit Card,10413.22,47,2,1,0,10,5519.01,11038.02,9788.419999999998
T130,2023,Monsoon,Grocery,Chennai,Maharashtra,C1068,P33,UPI,23162.72,12,4,0,0,15,20383.19,81532.76,11118.12000000001
T131,2021,Summer,Mobiles,Kolkata,West Bengal,C1786,P167,COD,23162.94,9,4,0,0,12,21078.28,84313.12,8338.64
T132,2023,Winter,Mobiles,Pune,Delhi,C445,P19,Debit Card,40575.92,17,3,0,0,17,33678.01,101034.03,20693.72999999999
T133,2022,Summer,Fashion,Chennai,Karnataka,C939,P497,UPI,41263.88,11,1,0,0,10,36724.85,36724.85,4539.029999999999
T134,2023,Winter,Fashion,Delhi,West Bengal,C6,P473,UPI,38011.62,25,2,0,0,10,28508.72,57017.44,19005.800000000003
T135,2021,Summer,Home,Kolkata,Delhi,C1694,P278,Debit Card,18399.62,41,2,0,0,8,10855.78,21711.56,15087.679999999997
T136,2021,Summer,Beauty,Hyderabad,Maharashtra,C1233,P309,Credit Card,3787.44,49,1,0,0,22,1931.59,1931.59,1855.8500000000001
T137,2022,Summer,Grocery,Kolkata,Maharashtra,C1183,P457,Debit Card,17604.25,56,2,0,0,1,7745.87,15491.74,19716.760000000002
T138,2020,Monsoon,Fashion,Kolkata,West Bengal,C1717,P7,Wallet,34053.6,52,4,0,0,2,16345.73,65382.92,70831.48
T139,2020,Festive,Home,Chennai,Tamil Nadu,C1304,P281,UPI,35196.78,66,1,0,0,13,11966.91,11966.91,23229.87
T140,2023,Summer,Beauty,Mumbai,West Bengal,C24,P396,UPI,48257.01,55,4,1,0,15,21715.65,86862.6,106165.44
T141,2019,Monsoon,Grocery,Pune,Karnataka,C647,P302,COD,22791.33,8,4,0,0,7,20968.02,83872.08,7293.240000000005
T142,2023,Festive,Mobiles,Delhi,Delhi,C287,P101,UPI,31695.29,60,4,0,0,15,12678.12,50712.48,76068.68
T143,2022,Festive,Home,Kolkata,Tamil Nadu,C725,P310,COD,27051.71,38,1,0,1,3,16772.06,16772.06,10279.649999999998
T144,2022,Summer,Beauty,Pune,Karnataka,C1041,P341,UPI,7700.8,49,2,1,0,8,3927.41,7854.82,7546.780000000001
T145,2022,Winter,Home,Pune,Maharashtra,C1498,P16,UPI,23167.88,20,4,0,0,3,18534.3,74137.2,18534.320000000007
T146,2022,Winter,Fashion,Mumbai,West Bengal,C1984,P70,Debit Card,27332.79,13,1,0,0,12,23779.53,23779.53,3553.260000000002
T147,2022,Winter,Electronics,Bangalore,Maharashtra,C1609,P480,Debit Card,47547.33,20,1,0,0,1,38037.86,38037.86,9509.470000000001
T148,2021,Summer,Mobiles,Delhi,Tamil Nadu,C1531,P131,Wallet,18453.64,35,3,1,0,22,11994.87,35984.61,19376.309999999998
T149,2020,Winter,Fashion,Delhi,Maharashtra,C661,P359,Credit Card,49008.94,17,3,0,0,17,40677.42,122032.26,24994.560000000012
T150,2022,Monsoon,Fashion,Pune,Delhi,C1243,P273,Wallet,27206.54,9,3,0,0,23,24757.95,74273.85,7345.77
T151,2019,Monsoon,Beauty,Chennai,Delhi,C1179,P450,UPI,12274.97,51,2,0,0,21,6014.74,12029.48,12520.46
T152,2019,Monsoon,Home,Kolkata,Maharashtra,C1123,P218,Wallet,9744.89,43,2,0,0,4,5554.59,11109.18,8380.599999999999
T153,2019,Monsoon,Mobiles,Bangalore,Karnataka,C194,P393,Debit Card,7256.41,22,2,0,0,16,5660.0,11320.0,3192.8199999999997
T154,2019,Festive,Fashion,Chennai,Tamil Nadu,C711,P206,UPI,22756.06,24,2,0,0,20,17294.61,34589.22,10922.900000000001
T155,2021,Monsoon,Beauty,Hyderabad,Maharashtra,C193,P473,UPI,1291.94,6,4,0,1,9,1214.42,4857.68,310.0799999999999
T156,2019,Winter,Mobiles,Mumbai,Karnataka,C888,P280,Wallet,22363.26,44,1,0,0,22,12523.43,12523.43,9839.829999999998
T157,2022,Summer,Home,Mumbai,Telangana,C1233,P5,COD,49422.55,34,1,0,0,22,32618.88,32618.88,16803.670000000002
T158,2023,Winter,Fashion,Chennai,Telangana,C111,P73,Credit Card,33571.32,14,3,0,0,3,28871.34,86614.02,14099.939999999999
T159,2019,Monsoon,Grocery,Pune,Karnataka,C805,P47,Wallet,38037.35,68,1,1,0,5,12171.95,12171.95,25865.399999999998
T160,2021,Festive,Fashion,Mumbai,Delhi,C1562,P154,Wallet,6126.47,46,2,0,0,21,3308.29,6616.58,5636.360000000001
T161,2021,Monsoon,Fashion,Kolkata,Delhi,C1612,P82,Credit Card,23760.42,57,1,0,0,9,10216.98,10216.98,13543.439999999999
T162,2019,Summer,Mobiles,Mumbai,Telangana,C1746,P267,UPI,14453.91,57,4,1,0,16,6215.18,24860.72,32954.92
T163,2023,Winter,Mobiles,Kolkata,Delhi,C1716,P308,UPI,44726.06,44,4,0,0,4,25046.59,100186.36,78717.87999999999
T164,2019,Summer,Mobiles,Hyderabad,Maharashtra,C1440,P301,COD,9228.37,20,3,0,0,6,7382.7,22148.1,5537.010000000003
T165,2021,Summer,Mobiles,Bangalore,Delhi,C1319,P7,Wallet,23044.92,52,2,0,0,4,11061.56,22123.12,23966.719999999998
T166,2020,Summer,Beauty,Delhi,Karnataka,C425,P488,Credit Card,29484.78,65,1,0,0,7,10319.67,10319.67,19165.11
T167,2022,Winter,Electronics,Chennai,West Bengal,C785,P484,Wallet,25799.25,42,3,0,0,0,14963.57,44890.71,32507.04
T168,2021,Monsoon,Beauty,Chennai,Karnataka,C851,P132,Debit Card,41546.13,48,1,0,0,1,21603.99,21603.99,19942.139999999996
T169,2019,Summer,Fashion,Kolkata,Delhi,C444,P163,Wallet,11726.37,19,3,0,0,15,9498.36,28495.08,6684.030000000001
T170,2022,Winter,Beauty,Hyderabad,Karnataka,C1903,P344,Wallet,18994.08,65,3,0,0,7,6647.93,19943.79,37038.450000000004
T171,2019,Festive,Home,Hyderabad,Tamil Nadu,C56,P180,Debit Card,39645.8,11,4,0,0,20,35284.76,141139.04,17444.160000000003
T172,2019,Winter,Grocery,Pune,Telangana,C138,P51,Debit Card,26497.96,34,4,0,0,14,17488.65,69954.6,36037.23999999999
T173,2020,Festive,Mobiles,Delhi,West Bengal,C1439,P38,Credit Card,20225.45,40,4,0,0,22,12135.27,48541.08,32360.72
T174,2022,Winter,Home,Bangalore,Tamil Nadu,C435,P374,UPI,1666.24,15,3,0,0,10,1416.3,4248.9,749.8200000000002
T175,2022,Monsoon,Grocery,Chennai,Tamil Nadu,C1085,P79,COD,37718.59,33,4,0,0,15,25271.46,101085.84,49788.51999999999
T176,2020,Summer,Home,Kolkata,Delhi,C339,P313,Debit Card,48614.67,10,4,0,0,6,43753.2,175012.8,19445.880000000005
T177,2021,Monsoon,Fashion,Hyderabad,Delhi,C560,P33,UPI,31090.29,55,2,0,0,16,13990.63,27981.26,34199.32000000001
T178,2019,Winter,Mobiles,Chennai,Tamil Nadu,C269,P11,Credit Card,42855.75,42,1,0,1,23,24856.34,24856.34,17999.41
T179,2023,Summer,Home,Kolkata,Tamil Nadu,C908,P395,Wallet,25940.41,26,1,0,0,2,19195.9,19195.9,6744.509999999998
T180,2019,Festive,Fashion,Mumbai,Maharashtra,C1887,P103,Credit Card,11737.71,58,2,0,0,14,4929.84,9859.68,13615.739999999998
T181,2019,Winter,Mobiles,Chennai,Maharashtra,C1387,P391,Credit Card,919.22,44,2,0,0,3,514.76,1029.52,808.9200000000001
T182,2021,Summer,Electronics,Bangalore,Maharashtra,C1856,P394,Debit Card,32739.23,11,4,1,0,2,29137.91,116551.64,14405.279999999999
T183,2019,Festive,Fashion,Kolkata,Telangana,C313,P176,COD,24756.82,44,4,0,0,10,13863.82,55455.28,43572.0
T184,2020,Festive,Beauty,Bangalore,Tamil Nadu,C313,P207,Debit Card,39148.49,28,1,0,0,1,28186.91,28186.91,10961.579999999998
T185,2020,Monsoon,Mobiles,Chennai,Karnataka,C1734,P109,Wallet,34795.18,45,2,0,0,6,19137.35,38274.7,31315.660000000003
T186,2022,Winter,Home,Mumbai,West Bengal,C837,P64,Debit Card,49400.03,55,2,0,0,14,22230.01,44460.02,54340.04
T187,2023,Festive,Grocery,Bangalore,Maharashtra,C1505,P6,Wallet,25613.57,43,4,0,0,13,14599.73,58398.92,44055.36
T188,2019,Summer,Home,Hyderabad,Delhi,C935,P259,Debit Card,21473.3,47,1,0,0,20,11380.85,11380.85,10092.449999999999
T189,2019,Festive,Beauty,Kolkata,Tamil Nadu,C12,P373,COD,14479.64,63,3,1,0,6,5357.47,16072.41,27366.509999999995
T190,2021,Festive,Beauty,Chennai,Karnataka,C1078,P8,UPI,23947.69,29,2,1,0,16,17002.86,34005.72,13889.659999999996
T191,2020,Monsoon,Home,Mumbai,West Bengal,C1024,P167,COD,43669.0,29,1,0,0,9,31004.99,31004.99,12664.009999999998
T192,2023,Monsoon,Grocery,Hyderabad,Karnataka,C1242,P78,Debit Card,2313.5,28,1,0,0,17,1665.72,1665.72,647.78
T193,2022,Summer,Mobiles,Chennai,Maharashtra,C1384,P352,Credit Card,48899.42,66,1,0,0,13,16625.8,16625.8,32273.62
T194,2020,Monsoon,Fashion,Pune,Karnataka,C1450,P7,UPI,49666.7,47,2,0,0,5,26323.35,52646.7,46686.7
T195,2022,Festive,Beauty,Mumbai,Delhi,C1315,P450,Credit Card,29971.5,63,3,0,0,21,11089.46,33268.38,56646.12
